,Interface,Access_VLAN,Allowed_VLANs,Channel_Group,Channel_Group_Members,Description,Primary_Address,Switchport,Switchport_Mode,VRF
251,regiona-pe02[GigabitEthernet0/0/0/43],,,,[],,,False,NONE,default
252,regiona-pe02[GigabitEthernet0/0/0/44],,,,[],,,False,NONE,default
253,regiona-pe02[GigabitEthernet0/0/0/45],,,,[],,,False,NONE,default
254,regiona-pe02[GigabitEthernet0/0/0/46],,,,[],,,False,NONE,default
255,regiona-pe02[GigabitEthernet0/0/0/47],,,,[],,,False,NONE,default
256,regiona-pe02[GigabitEthernet0/0/0/48],,,,[],,,False,NONE,default
257,regiona-pe02[GigabitEthernet0/0/0/49],,,,[],,,False,NONE,default
258,regiona-pe02[GigabitEthernet0/0/0/50],,,,[],,,False,NONE,default
259,regiona-pe02[GigabitEthernet0/0/0/51],,,,[],,,False,NONE,default
260,regiona-pe02[GigabitEthernet0/0/0/52],,,,[],,,False,NONE,default
261,regiona-pe02[GigabitEthernet0/0/0/53],,,,[],,,False,NONE,default
262,regiona-pe02[GigabitEthernet0/0/0/54],,,,[],,,False,NONE,default
263,regiona-pe02[GigabitEthernet0/0/0/55],,,,[],,,False,NONE,default
264,regiona-pe02[GigabitEthernet0/0/0/56],,,,[],,,False,NONE,default
265,regiona-pe02[GigabitEthernet0/0/0/57],,,,[],,,False,NONE,default
266,regiona-pe02[GigabitEthernet0/0/0/58],,,,[],,,False,NONE,default
267,regiona-pe02[GigabitEthernet0/0/0/59],,,,[],,,False,NONE,default
268,regiona-pe02[GigabitEthernet0/0/0/60],,,,[],,,False,NONE,default
269,regiona-pe02[GigabitEthernet0/0/0/61],,,,[],,,False,NONE,default
270,regiona-pe02[GigabitEthernet0/0/0/62],,,,[],,,False,NONE,default
271,regiona-pe02[GigabitEthernet0/0/0/63],,,,[],,,False,NONE,default
272,regiona-pe02[GigabitEthernet0/0/0/64],,,,[],,,False,NONE,default
273,regiona-pe02[GigabitEthernet0/0/0/65],,,,[],,,False,NONE,default
274,regiona-pe02[GigabitEthernet0/0/0/66],,,,[],,,False,NONE,default
275,regiona-pe02[GigabitEthernet0/0/0/67],,,,[],,,False,NONE,default
276,regiona-pe02[GigabitEthernet0/0/0/68],,,,[],,,False,NONE,default
277,regiona-pe02[GigabitEthernet0/0/0/69],,,,[],,,False,NONE,default
278,regiona-pe02[GigabitEthernet0/0/0/70],,,,[],,,False,NONE,default
279,regiona-pe02[GigabitEthernet0/0/0/71],,,,[],,,False,NONE,default
280,regiona-pe02[GigabitEthernet0/0/0/72],,,,[],,,False,NONE,default
281,regiona-pe02[GigabitEthernet0/0/0/73],,,,[],,,False,NONE,default
282,regiona-pe02[GigabitEthernet0/0/0/74],,,,[],,,False,NONE,default
283,regiona-pe02[GigabitEthernet0/0/0/75],,,,[],,,False,NONE,default
284,regiona-pe02[GigabitEthernet0/0/0/76],,,,[],,,False,NONE,default
285,regiona-pe02[GigabitEthernet0/0/0/77],,,,[],,,False,NONE,default
286,regiona-pe02[GigabitEthernet0/0/0/78],,,,[],,,False,NONE,default
287,regiona-pe02[GigabitEthernet0/0/0/79],,,,[],,,False,NONE,default
288,regiona-pe02[GigabitEthernet0/0/0/80],,,,[],,,False,NONE,default
289,regiona-pe02[GigabitEthernet0/0/0/81],,,,[],,,False,NONE,default
290,regiona-pe02[GigabitEthernet0/0/0/82],,,,[],,,False,NONE,default
291,regiona-pe02[GigabitEthernet0/0/0/83],,,,[],,,False,NONE,default
292,regiona-pe02[GigabitEthernet0/0/0/84],,,,[],,,False,NONE,default
293,regiona-pe02[GigabitEthernet0/0/0/85],,,,[],,,False,NONE,default
294,regiona-pe02[GigabitEthernet0/0/0/86],,,,[],,,False,NONE,default
295,regiona-pe02[GigabitEthernet0/0/0/87],,,,[],,,False,NONE,default
296,regiona-pe02[GigabitEthernet0/0/0/88],,,,[],,,False,NONE,default
297,regiona-pe02[GigabitEthernet0/0/0/89],,,,[],,,False,NONE,default
298,regiona-pe02[GigabitEthernet0/0/0/90],,,,[],,,False,NONE,default
299,regiona-pe02[GigabitEthernet0/0/0/91],,,,[],,,False,NONE,default
300,regiona-pe02[GigabitEthernet0/0/0/92],,,,[],,,False,NONE,default
301,regiona-pe02[GigabitEthernet0/0/0/93],,,,[],,,False,NONE,default
302,regiona-pe02[GigabitEthernet0/0/0/94],,,,[],,,False,NONE,default
303,regiona-pe02[GigabitEthernet0/0/0/95],,,,[],,,False,NONE,default
304,regiona-pe02[GigabitEthernet0/0/0/96],,,,[],,,False,NONE,default
305,regiona-pe02[GigabitEthernet0/0/0/97],,,,[],,,False,NONE,default
306,regiona-pe02[GigabitEthernet0/0/0/98],,,,[],,,False,NONE,default
307,regiona-pe02[GigabitEthernet0/0/0/99],,,,[],,,False,NONE,default
308,regiona-pe02[GigabitEthernet0/0/0/100],,,,[],,,False,NONE,default
309,regiona-pe02[GigabitEthernet0/0/0/101],,,,[],,,False,NONE,default
310,regiona-pe02[GigabitEthernet0/0/0/102],,,,[],,,False,NONE,default
311,regiona-pe02[GigabitEthernet0/0/0/103],,,,[],,,False,NONE,default
312,regiona-pe02[GigabitEthernet0/0/0/104],,,,[],,,False,NONE,default
313,regiona-pe02[GigabitEthernet0/0/0/105],,,,[],,,False,NONE,default
314,regiona-pe02[GigabitEthernet0/0/0/106],,,,[],,,False,NONE,default
315,regiona-pe02[GigabitEthernet0/0/0/107],,,,[],,,False,NONE,default
316,regiona-pe02[GigabitEthernet0/0/0/108],,,,[],,,False,NONE,default
317,regiona-pe02[GigabitEthernet0/0/0/109],,,,[],,,False,NONE,default
318,regiona-pe02[GigabitEthernet0/0/0/110],,,,[],,,False,NONE,default
319,regiona-pe02[GigabitEthernet0/0/0/111],,,,[],,,False,NONE,default
320,regiona-pe02[GigabitEthernet0/0/0/112],,,,[],,,False,NONE,default
321,regiona-pe02[GigabitEthernet0/0/0/113],,,,[],,,False,NONE,default
322,regiona-pe02[GigabitEthernet0/0/0/114],,,,[],,,False,NONE,default
323,regiona-pe02[GigabitEthernet0/0/0/115],,,,[],,,False,NONE,default
324,regiona-pe02[GigabitEthernet0/0/0/116],,,,[],,,False,NONE,default
325,regiona-pe02[GigabitEthernet0/0/0/117],,,,[],,,False,NONE,default
326,regiona-pe02[GigabitEthernet0/0/0/118],,,,[],,,False,NONE,default
327,regiona-pe02[GigabitEthernet0/0/0/119],,,,[],,,False,NONE,default
328,regiona-pe02[GigabitEthernet0/0/0/120],,,,[],,,False,NONE,default
329,regiona-pe02[GigabitEthernet0/0/0/121],,,,[],,,False,NONE,default
330,regiona-pe02[GigabitEthernet0/0/0/122],,,,[],,,False,NONE,default
331,regiona-pe02[GigabitEthernet0/0/0/123],,,,[],,,False,NONE,default
332,regiona-pe02[GigabitEthernet0/0/0/124],,,,[],,,False,NONE,default
333,regiona-pe02[GigabitEthernet0/0/0/125],,,,[],,,False,NONE,default
334,regiona-pe02[GigabitEthernet0/0/0/126],,,,[],,,False,NONE,default
335,regiona-pe02[GigabitEthernet0/0/0/127],,,,[],,,False,NONE,default
336,regiona-pe02[Loopback0],,,,[],,1.1.1.2/32,False,NONE,default
337,regiona-pe02[MgmtEth0/0/CPU0/0],,,,[],,10.0.0.15/24,False,NONE,default
338,regiona-svr01[Ethernet1],,,,[],,172.30.10.100/24,False,NONE,default
339,regiona-svr01[Ethernet2],,,,[],,172.30.110.100/24,False,NONE,default
340,regiona-svr01[Ethernet3],1,,,[],,,True,ACCESS,default
341,regiona-svr01[Ethernet4],1,,,[],,,True,ACCESS,default
342,regiona-svr01[Ethernet5],1,,,[],,,True,ACCESS,default
343,regiona-svr01[Ethernet6],1,,,[],,,True,ACCESS,default
344,regiona-svr01[Ethernet7],1,,,[],,,True,ACCESS,default
345,regiona-svr01[Ethernet8],1,,,[],,,True,ACCESS,default
346,regiona-svr01[Ethernet9],1,,,[],,,True,ACCESS,default
347,regiona-svr01[Ethernet10],1,,,[],,,True,ACCESS,default
348,regiona-svr01[Ethernet11],1,,,[],,,True,ACCESS,default
349,regiona-svr01[Ethernet12],1,,,[],,,True,ACCESS,default
350,regiona-svr01[Ethernet13],1,,,[],,,True,ACCESS,default
351,regiona-svr01[Ethernet14],1,,,[],,,True,ACCESS,default
352,regiona-svr01[Ethernet15],1,,,[],,,True,ACCESS,default
353,regiona-svr01[Ethernet16],1,,,[],,,True,ACCESS,default
354,regiona-svr01[Ethernet17],1,,,[],,,True,ACCESS,default
355,regiona-svr01[Ethernet18],1,,,[],,,True,ACCESS,default
356,regiona-svr01[Ethernet19],1,,,[],,,True,ACCESS,default
357,regiona-svr01[Management1],,,,[],,10.0.0.15/24,False,NONE,default
358,regiona-svr02[Ethernet1],,,,[],,172.30.10.101/24,False,NONE,default
359,regiona-svr02[Ethernet2],,,,[],,172.30.110.101/24,False,NONE,default
360,regiona-svr02[Ethernet3],1,,,[],,,True,ACCESS,default
361,regiona-svr02[Ethernet4],1,,,[],,,True,ACCESS,default
362,regiona-svr02[Ethernet5],1,,,[],,,True,ACCESS,default
363,regiona-svr02[Ethernet6],1,,,[],,,True,ACCESS,default
364,regiona-svr02[Ethernet7],1,,,[],,,True,ACCESS,default
365,regiona-svr02[Ethernet8],1,,,[],,,True,ACCESS,default
366,regiona-svr02[Ethernet9],1,,,[],,,True,ACCESS,default
367,regiona-svr02[Ethernet10],1,,,[],,,True,ACCESS,default
368,regiona-svr02[Ethernet11],1,,,[],,,True,ACCESS,default
369,regiona-svr02[Ethernet12],1,,,[],,,True,ACCESS,default
370,regiona-svr02[Ethernet13],1,,,[],,,True,ACCESS,default
371,regiona-svr02[Ethernet14],1,,,[],,,True,ACCESS,default
372,regiona-svr02[Ethernet15],1,,,[],,,True,ACCESS,default
373,regiona-svr02[Ethernet16],1,,,[],,,True,ACCESS,default
374,regiona-svr02[Ethernet17],1,,,[],,,True,ACCESS,default
375,regiona-svr02[Ethernet18],1,,,[],,,True,ACCESS,default
376,regiona-svr02[Ethernet19],1,,,[],,,True,ACCESS,default
377,regiona-svr02[Management1],,,,[],,10.0.0.15/24,False,NONE,default
378,regionb-acc01[Ethernet1],1,,Port-Channel1,[],,,True,ACCESS,default
379,regionb-acc01[Ethernet2],1,,Port-Channel1,[],,,True,ACCESS,default
380,regionb-acc01[Ethernet3],1,,Port-Channel2,[],,,True,ACCESS,default
381,regionb-acc01[Ethernet4],1,,Port-Channel2,[],,,True,ACCESS,default
382,regionb-acc01[Ethernet5],1010,,,[],,,True,ACCESS,default
383,regionb-acc01[Ethernet6],1110,,,[],,,True,ACCESS,default
384,regionb-acc01[Ethernet7],1,,,[],,,True,ACCESS,default
385,regionb-acc01[Ethernet8],1,,,[],,,True,ACCESS,default
386,regionb-acc01[Ethernet9],1,,,[],,,True,ACCESS,default
387,regionb-acc01[Ethernet10],1,,,[],,,True,ACCESS,default
388,regionb-acc01[Ethernet11],1,,,[],,,True,ACCESS,default
389,regionb-acc01[Ethernet12],1,,,[],,,True,ACCESS,default
390,regionb-acc01[Ethernet13],1,,,[],,,True,ACCESS,default
391,regionb-acc01[Ethernet14],1,,,[],,,True,ACCESS,default
392,regionb-acc01[Ethernet15],1,,,[],,,True,ACCESS,default
393,regionb-acc01[Ethernet16],1,,,[],,,True,ACCESS,default
394,regionb-acc01[Ethernet17],1,,,[],,,True,ACCESS,default
395,regionb-acc01[Ethernet18],1,,,[],,,True,ACCESS,default
396,regionb-acc01[Ethernet19],1,,,[],,,True,ACCESS,default
397,regionb-acc01[Management1],,,,[],,10.0.0.15/24,False,NONE,default
398,regionb-acc01[Port-Channel1],,"1010,1110",,"['Ethernet1', 'Ethernet2']",,,True,TRUNK,default
399,regionb-acc01[Port-Channel2],,"1010,1110",,"['Ethernet3', 'Ethernet4']",,,True,TRUNK,default
400,regionb-acc02[Ethernet1],1,,Port-Channel1,[],,,True,ACCESS,default
401,regionb-acc02[Ethernet2],1,,Port-Channel1,[],,,True,ACCESS,default
402,regionb-acc02[Ethernet3],1,,Port-Channel2,[],,,True,ACCESS,default
403,regionb-acc02[Ethernet4],1,,Port-Channel2,[],,,True,ACCESS,default
404,regionb-acc02[Ethernet5],1020,,,[],,,True,ACCESS,default
405,regionb-acc02[Ethernet6],1120,,,[],,,True,ACCESS,default
406,regionb-acc02[Ethernet7],1,,,[],,,True,ACCESS,default
407,regionb-acc02[Ethernet8],1,,,[],,,True,ACCESS,default
408,regionb-acc02[Ethernet9],1,,,[],,,True,ACCESS,default
409,regionb-acc02[Ethernet10],1,,,[],,,True,ACCESS,default
410,regionb-acc02[Ethernet11],1,,,[],,,True,ACCESS,default
411,regionb-acc02[Ethernet12],1,,,[],,,True,ACCESS,default
412,regionb-acc02[Ethernet13],1,,,[],,,True,ACCESS,default
413,regionb-acc02[Ethernet14],1,,,[],,,True,ACCESS,default
414,regionb-acc02[Ethernet15],1,,,[],,,True,ACCESS,default
415,regionb-acc02[Ethernet16],1,,,[],,,True,ACCESS,default
416,regionb-acc02[Ethernet17],1,,,[],,,True,ACCESS,default
417,regionb-acc02[Ethernet18],1,,,[],,,True,ACCESS,default
418,regionb-acc02[Ethernet19],1,,,[],,,True,ACCESS,default
419,regionb-acc02[Management1],,,,[],,10.0.0.15/24,False,NONE,default
420,regionb-acc02[Port-Channel1],,"1020,1120",,"['Ethernet1', 'Ethernet2']",,,True,TRUNK,default
421,regionb-acc02[Port-Channel2],,"1020,1120",,"['Ethernet3', 'Ethernet4']",,,True,TRUNK,default
422,regionb-ce01[ae0],,,,"['ge-0/0/2', 'ge-0/0/3']",,,False,NONE,default
423,regionb-ce01[ae0.0],,,,[],,172.17.5.1/30,False,NONE,default
424,regionb-ce01[ae1],,,,"['ge-0/0/4', 'ge-0/0/5']",,,False,NONE,default
425,regionb-ce01[ae1.1010],,,,[],,172.31.10.1/24,False,NONE,default
426,regionb-ce01[ae1.1110],,,,[],,172.31.110.1/24,False,NONE,VR1
427,regionb-ce01[ae2],,,,"['ge-0/0/6', 'ge-0/0/7']",,,False,NONE,default
428,regionb-ce01[ae2.1020],,,,[],,172.31.20.1/24,False,NONE,default
429,regionb-ce01[ae2.1120],,,,[],,172.31.120.1/24,False,NONE,VR1
430,regionb-ce01[fxp0],,,,[],,,False,NONE,default
431,regionb-ce01[fxp0.0],,,,[],,10.0.0.15/24,False,NONE,default
432,regionb-ce01[ge-0/0/0],,,,[],,,False,NONE,default
433,regionb-ce01[ge-0/0/0.0],,,,[],,172.17.1.2/30,False,NONE,default
434,regionb-ce01[ge-0/0/1],,,,[],,,False,NONE,default
435,regionb-ce01[ge-0/0/1.0],,,,[],,172.17.3.2/30,False,NONE,default
436,regionb-ce01[ge-0/0/2],,,ae0,[],,,False,NONE,default
437,regionb-ce01[ge-0/0/3],,,ae0,[],,,False,NONE,default
438,regionb-ce01[ge-0/0/4],,,ae1,[],,,False,NONE,default
439,regionb-ce01[ge-0/0/5],,,ae1,[],,,False,NONE,default
440,regionb-ce01[ge-0/0/6],,,ae2,[],,,False,NONE,default
441,regionb-ce01[ge-0/0/7],,,ae2,[],,,False,NONE,default
442,regionb-ce02[ae0],,,,"['ge-0/0/2', 'ge-0/0/3']",,,False,NONE,default
443,regionb-ce02[ae0.0],,,,[],,172.17.5.2/30,False,NONE,default
444,regionb-ce02[ae1],,,,"['ge-0/0/4', 'ge-0/0/5']",,,False,NONE,default
445,regionb-ce02[ae1.1010],,,,[],,172.31.10.2/24,False,NONE,default
446,regionb-ce02[ae1.1110],,,,[],,172.31.110.2/24,False,NONE,VR1
447,regionb-ce02[ae2],,,,"['ge-0/0/6', 'ge-0/0/7']",,,False,NONE,default
448,regionb-ce02[ae2.1020],,,,[],,172.31.20.2/24,False,NONE,default
449,regionb-ce02[ae2.1120],,,,[],,172.31.120.2/24,False,NONE,VR1
450,regionb-ce02[fxp0],,,,[],,,False,NONE,default
451,regionb-ce02[fxp0.0],,,,[],,10.0.0.15/24,False,NONE,default
452,regionb-ce02[ge-0/0/0],,,,[],,,False,NONE,default
453,regionb-ce02[ge-0/0/0.0],,,,[],,172.17.2.2/30,False,NONE,default
454,regionb-ce02[ge-0/0/1],,,,[],,,False,NONE,default
455,regionb-ce02[ge-0/0/1.0],,,,[],,172.17.4.2/30,False,NONE,default
456,regionb-ce02[ge-0/0/2],,,ae0,[],,,False,NONE,default
457,regionb-ce02[ge-0/0/3],,,ae0,[],,,False,NONE,default
458,regionb-ce02[ge-0/0/4],,,ae1,[],,,False,NONE,default
459,regionb-ce02[ge-0/0/5],,,ae1,[],,,False,NONE,default
460,regionb-ce02[ge-0/0/6],,,ae2,[],,,False,NONE,default
461,regionb-ce02[ge-0/0/7],,,ae2,[],,,False,NONE,default
462,regionb-pe01[fxp0],,,,[],,,False,NONE,default
463,regionb-pe01[fxp0.0],,,,[],,10.0.0.15/24,False,NONE,default
464,regionb-pe01[ge-0/0/0],,,,[],,,False,NONE,default
465,regionb-pe01[ge-0/0/0.0],,,,[],,10.1.0.2/30,False,NONE,default
466,regionb-pe01[ge-0/0/1],,,,[],,,False,NONE,default
467,regionb-pe01[ge-0/0/1.0],,,,[],,172.17.0.1/30,False,NONE,default
468,regionb-pe01[ge-0/0/2],,,,[],,,False,NONE,default
469,regionb-pe01[ge-0/0/2.0],,,,[],,172.17.1.1/30,False,NONE,default
470,regionb-pe01[ge-0/0/3],,,,[],,,False,NONE,default
471,regionb-pe01[ge-0/0/3.0],,,,[],,172.17.2.1/30,False,NONE,default
472,regionb-pe02[fxp0],,,,[],,,False,NONE,default
473,regionb-pe02[fxp0.0],,,,[],,10.0.0.15/24,False,NONE,default
474,regionb-pe02[ge-0/0/0],,,,[],,,False,NONE,default
475,regionb-pe02[ge-0/0/0.0],,,,[],,10.1.1.2/30,False,NONE,default
476,regionb-pe02[ge-0/0/1],,,,[],,,False,NONE,default
477,regionb-pe02[ge-0/0/1.0],,,,[],,172.17.0.2/30,False,NONE,default
478,regionb-pe02[ge-0/0/2],,,,[],,,False,NONE,default
479,regionb-pe02[ge-0/0/2.0],,,,[],,172.17.3.1/30,False,NONE,default
480,regionb-pe02[ge-0/0/3],,,,[],,,False,NONE,default
481,regionb-pe02[ge-0/0/3.0],,,,[],,172.17.4.1/30,False,NONE,default
482,regionb-svr01[Ethernet1],,,,[],,172.31.10.100/24,False,NONE,default
483,regionb-svr01[Ethernet2],,,,[],,172.31.110.100/24,False,NONE,default
484,regionb-svr01[Ethernet3],1,,,[],,,True,ACCESS,default
485,regionb-svr01[Ethernet4],1,,,[],,,True,ACCESS,default
486,regionb-svr01[Ethernet5],1,,,[],,,True,ACCESS,default
487,regionb-svr01[Ethernet6],1,,,[],,,True,ACCESS,default
488,regionb-svr01[Ethernet7],1,,,[],,,True,ACCESS,default
489,regionb-svr01[Ethernet8],1,,,[],,,True,ACCESS,default
490,regionb-svr01[Ethernet9],1,,,[],,,True,ACCESS,default
491,regionb-svr01[Ethernet10],1,,,[],,,True,ACCESS,default
492,regionb-svr01[Ethernet11],1,,,[],,,True,ACCESS,default
493,regionb-svr01[Ethernet12],1,,,[],,,True,ACCESS,default
494,regionb-svr01[Ethernet13],1,,,[],,,True,ACCESS,default
495,regionb-svr01[Ethernet14],1,,,[],,,True,ACCESS,default
496,regionb-svr01[Ethernet15],1,,,[],,,True,ACCESS,default
497,regionb-svr01[Ethernet16],1,,,[],,,True,ACCESS,default
498,regionb-svr01[Ethernet17],1,,,[],,,True,ACCESS,default
499,regionb-svr01[Ethernet18],1,,,[],,,True,ACCESS,default
500,regionb-svr01[Ethernet19],1,,,[],,,True,ACCESS,default
501,regionb-svr01[Management1],,,,[],,10.0.0.15/24,False,NONE,default
502,regionb-svr02[Ethernet1],,,,[],,172.31.20.100/24,False,NONE,default
503,regionb-svr02[Ethernet2],,,,[],,172.31.120.100/24,False,NONE,default
504,regionb-svr02[Ethernet3],1,,,[],,,True,ACCESS,default
505,regionb-svr02[Ethernet4],1,,,[],,,True,ACCESS,default
506,regionb-svr02[Ethernet5],1,,,[],,,True,ACCESS,default
507,regionb-svr02[Ethernet6],1,,,[],,,True,ACCESS,default
508,regionb-svr02[Ethernet7],1,,,[],,,True,ACCESS,default
509,regionb-svr02[Ethernet8],1,,,[],,,True,ACCESS,default
510,regionb-svr02[Ethernet9],1,,,[],,,True,ACCESS,default
511,regionb-svr02[Ethernet10],1,,,[],,,True,ACCESS,default
512,regionb-svr02[Ethernet11],1,,,[],,,True,ACCESS,default
513,regionb-svr02[Ethernet12],1,,,[],,,True,ACCESS,default
514,regionb-svr02[Ethernet13],1,,,[],,,True,ACCESS,default
515,regionb-svr02[Ethernet14],1,,,[],,,True,ACCESS,default
516,regionb-svr02[Ethernet15],1,,,[],,,True,ACCESS,default
517,regionb-svr02[Ethernet16],1,,,[],,,True,ACCESS,default
518,regionb-svr02[Ethernet17],1,,,[],,,True,ACCESS,default
519,regionb-svr02[Ethernet18],1,,,[],,,True,ACCESS,default
520,regionb-svr02[Ethernet19],1,,,[],,,True,ACCESS,default
521,regionb-svr02[Management1],,,,[],,10.0.0.15/24,False,NONE,default
