,Interface,Access_VLAN,Active,All_Prefixes,Allowed_VLANs,Auto_State_VLAN,Bandwidth,Blacklisted,Channel_Group,Channel_Group_Members,DHCP_Relay_Addresses,Declared_Names,Description,Encapsulation_VLAN,HSRP_Groups,HSRP_Version,Incoming_Filter_Name,MLAG_ID,MTU,Native_VLAN,Outgoing_Filter_Name,PBR_Policy_Name,Primary_Address,Primary_Network,Proxy_ARP,Rip_Enabled,Rip_Passive,Spanning_Tree_Portfast,Speed,Switchport,Switchport_Mode,Switchport_Trunk_Encapsulation,VRF,VRRP_Groups,Zone_Name
0,host11[eth0],,True,['192.168.1.101/24'],,True,1000000000.0,False,,[],[],['eth0'],,,[],,,,1500,,,,192.168.1.101/24,192.168.1.0/24,False,False,False,False,,False,NONE,DOT1Q,default,[],
1,host12[eth0],,True,['192.168.1.102/24'],,True,1000000000.0,False,,[],[],['eth0'],,,[],,,,1500,,,,192.168.1.102/24,192.168.1.0/24,False,False,False,False,,False,NONE,DOT1Q,default,[],
2,host13[eth0],,True,['192.168.1.103/24'],,True,1000000000.0,False,,[],[],['eth0'],,,[],,,,1500,,,,192.168.1.103/24,192.168.1.0/24,False,False,False,False,,False,NONE,DOT1Q,default,[],
3,host14[eth0],,True,['192.168.1.104/24'],,True,1000000000.0,False,,[],[],['eth0'],,,[],,,,1500,,,,192.168.1.104/24,192.168.1.0/24,False,False,False,False,,False,NONE,DOT1Q,default,[],
4,host21[eth0],,True,['192.168.1.101/24'],,True,1000000000.0,False,,[],[],['eth0'],,,[],,,,1500,,,,192.168.1.101/24,192.168.1.0/24,False,False,False,False,,False,NONE,DOT1Q,default,[],
5,host22[eth0],,True,['192.168.1.102/24'],,True,1000000000.0,False,,[],[],['eth0'],,,[],,,,1500,,,,192.168.1.102/24,192.168.1.0/24,False,False,False,False,,False,NONE,DOT1Q,default,[],
6,host23[eth0],,True,['192.168.1.103/24'],,True,1000000000.0,False,,[],[],['eth0'],,,[],,,,1500,,,,192.168.1.103/24,192.168.1.0/24,False,False,False,False,,False,NONE,DOT1Q,default,[],
7,host24[eth0],,True,['192.168.1.104/24'],,True,1000000000.0,False,,[],[],['eth0'],,,[],,,,1500,,,,192.168.1.104/24,192.168.1.0/24,False,False,False,False,,False,NONE,DOT1Q,default,[],
8,switch1[GigabitEthernet1/0/1],100,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/1'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
9,switch1[GigabitEthernet1/0/2],100,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/2'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
10,switch1[GigabitEthernet1/0/3],100,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/3'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
11,switch1[GigabitEthernet1/0/4],100,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/4'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
12,switch1[GigabitEthernet1/0/5],200,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/5'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
13,switch1[GigabitEthernet1/0/6],200,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/6'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
14,switch1[GigabitEthernet1/0/7],200,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/7'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
15,switch1[GigabitEthernet1/0/8],200,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/8'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
16,switch1[GigabitEthernet1/0/9],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/9'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
17,switch1[GigabitEthernet1/0/10],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/10'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
18,switch1[GigabitEthernet1/0/11],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/11'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
19,switch1[GigabitEthernet1/0/12],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/12'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
20,switch1[GigabitEthernet1/0/13],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/13'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
21,switch1[GigabitEthernet1/0/14],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/14'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
22,switch1[GigabitEthernet1/0/15],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/15'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
23,switch1[GigabitEthernet1/0/16],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/16'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
24,switch1[GigabitEthernet1/0/17],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/17'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
25,switch1[GigabitEthernet1/0/18],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/18'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
26,switch1[GigabitEthernet1/0/19],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/19'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
27,switch1[GigabitEthernet1/0/20],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/20'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
28,switch1[GigabitEthernet1/0/21],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/21'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
29,switch1[GigabitEthernet1/0/22],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/22'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
30,switch1[GigabitEthernet1/0/23],,True,[],"100,200",True,1000000000.0,False,Port-channel1,[],[],['GigabitEthernet1/0/23'],,,[],,,,1500,1,,,,,True,False,False,False,1000000000.0,True,TRUNK,DOT1Q,default,[],
31,switch1[GigabitEthernet1/0/24],,True,[],"100,200",True,1000000000.0,False,Port-channel1,[],[],['GigabitEthernet1/0/24'],,,[],,,,1500,1,,,,,True,False,False,False,1000000000.0,True,TRUNK,DOT1Q,default,[],
32,switch1[Port-channel1],,True,[],"100,200",True,2000000000.0,False,,"['GigabitEthernet1/0/23', 'GigabitEthernet1/0/24']",[],['Port-channel1'],,,[],,,,1500,1,,,,,True,False,False,False,,True,TRUNK,DOT1Q,default,[],
33,switch1[Vlan1],,False,[],,True,1000000000.0,False,,[],[],['Vlan1'],,,[],,,,1500,,,,,,True,False,False,False,,False,NONE,DOT1Q,default,[],
34,switch1[Vlan100],,True,['192.168.1.2/24'],,True,1000000000.0,False,,[],[],['Vlan100'],,,['100'],,,,1500,,,,192.168.1.2/24,192.168.1.0/24,False,False,False,False,,False,NONE,DOT1Q,default,[],
35,switch1[Vlan200],,True,['192.168.1.2/24'],,True,1000000000.0,False,,[],[],['Vlan200'],,,['200'],,,,1500,,,,192.168.1.2/24,192.168.1.0/24,False,False,False,False,,False,NONE,DOT1Q,user2,[],
36,switch2[GigabitEthernet1/0/1],100,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/1'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
37,switch2[GigabitEthernet1/0/2],100,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/2'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
38,switch2[GigabitEthernet1/0/3],100,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/3'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
39,switch2[GigabitEthernet1/0/4],100,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/4'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
40,switch2[GigabitEthernet1/0/5],200,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/5'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
41,switch2[GigabitEthernet1/0/6],200,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/6'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
42,switch2[GigabitEthernet1/0/7],200,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/7'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
43,switch2[GigabitEthernet1/0/8],200,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/8'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,True,ACCESS,DOT1Q,default,[],
44,switch2[GigabitEthernet1/0/9],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/9'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
45,switch2[GigabitEthernet1/0/10],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/10'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
46,switch2[GigabitEthernet1/0/11],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/11'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
47,switch2[GigabitEthernet1/0/12],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/12'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
48,switch2[GigabitEthernet1/0/13],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/13'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
49,switch2[GigabitEthernet1/0/14],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/14'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
50,switch2[GigabitEthernet1/0/15],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/15'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
51,switch2[GigabitEthernet1/0/16],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/16'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
52,switch2[GigabitEthernet1/0/17],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/17'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
53,switch2[GigabitEthernet1/0/18],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/18'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
54,switch2[GigabitEthernet1/0/19],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/19'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
55,switch2[GigabitEthernet1/0/20],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/20'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
56,switch2[GigabitEthernet1/0/21],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/21'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
57,switch2[GigabitEthernet1/0/22],,True,[],,True,1000000000.0,False,,[],[],['GigabitEthernet1/0/22'],,,[],,,,1500,,,,,,True,False,False,False,1000000000.0,False,NONE,DOT1Q,default,[],
58,switch2[GigabitEthernet1/0/23],,True,[],"100,200",True,1000000000.0,False,Port-channel1,[],[],['GigabitEthernet1/0/23'],,,[],,,,1500,1,,,,,True,False,False,False,1000000000.0,True,TRUNK,DOT1Q,default,[],
59,switch2[GigabitEthernet1/0/24],,True,[],"100,200",True,1000000000.0,False,Port-channel1,[],[],['GigabitEthernet1/0/24'],,,[],,,,1500,1,,,,,True,False,False,False,1000000000.0,True,TRUNK,DOT1Q,default,[],
60,switch2[Port-channel1],,True,[],"100,200",True,2000000000.0,False,,"['GigabitEthernet1/0/23', 'GigabitEthernet1/0/24']",[],['Port-channel1'],,,[],,,,1500,1,,,,,True,False,False,False,,True,TRUNK,DOT1Q,default,[],
61,switch2[Vlan1],,False,[],,True,1000000000.0,False,,[],[],['Vlan1'],,,[],,,,1500,,,,,,True,False,False,False,,False,NONE,DOT1Q,default,[],
62,switch2[Vlan100],,True,['192.168.1.3/24'],,True,1000000000.0,False,,[],[],['Vlan100'],,,['100'],,,,1500,,,,192.168.1.3/24,192.168.1.0/24,False,False,False,False,,False,NONE,DOT1Q,default,[],
63,switch2[Vlan200],,True,['192.168.1.3/24'],,True,1000000000.0,False,,[],[],['Vlan200'],,,['200'],,,,1500,,,,192.168.1.3/24,192.168.1.0/24,False,False,False,False,,False,NONE,DOT1Q,user2,[],
